DEPNO	LONGITUDE	LATITUDE	COUNTRY	LOCATION	ALLNAMES	COMMODITIES	DEPCLAN	DBNAME	COMPBY	RELDATE	URL	TITLE
854	-108.648056	59.625278	Canada (Saskatchewan)	59.37.31 N -- 108.38.53 W	New Hosco; Fold Lake No. 87; NN-87	U	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp854.html	U-Th-REE deposits & occurrences, v.3.7n
1586	-103.483333	59.083333	Canada (Saskatchewan)	59.05.00 N -- 103.29.00 W	Newham Lake Showings-smdc	U	Sandstone	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp1586.html	U-Th-REE deposits & occurrences, v.3.7n
40080	-108.432818	59.459856	Canada (Saskatchewan)	59.27.35 N -- 108.25.58 W	Nicholson Bay Uranium Mine; Nicholson Zones 1 to 6	U; Ni; Cu; Co; Se; V; Pb; Zn; Au; Ag	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp40080.html	U-Th-REE deposits & occurrences, v.3.7n
1670	-107.901944	59.876111	Canada (Saskatchewan)	59.52.34 N -- 107.54.07 W	Nisikkatch Lake Allanite; JAK Claims 5 and 8	REE; Th	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp1670.html	U-Th-REE deposits & occurrences, v.3.7n
40209	-105.444444	59.210278	Canada (Saskatchewan)	59.12.37 N -- 105.26.40 W	Nisto Uranium Mine; Nisto Uranium Mine Adit ; Nisto Zones 1 to 8 and A to J; Nisto North Uranium Showing; Nisto South Uranium Showing	U; Cu; Co; Sb	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp40209.html	U-Th-REE deposits & occurrences, v.3.7n
680	-104.333333	55.450000	Canada (Saskatchewan)	55.27.00 N -- 104.20.00 W	Nistowiak	U	Intrusion-related	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp680.html	U-Th-REE deposits & occurrences, v.3.7n
1664	-103.425833	59.080833	Canada (Saskatchewan)	59.04.51 N -- 103.25.33 W	Nordbye Lake-cbs 1896	La; Ce; Sm; Dy; U; Th; Sc; Hf	Miscellaneous	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp1664.html	U-Th-REE deposits & occurrences, v.3.7n
1671	-107.765556	59.990833	Canada (Saskatchewan)	59.59.27 N -- 107.45.56 W	Norwest Lake; Norwest Allanite Showing	REE	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp1671.html	U-Th-REE deposits & occurrences, v.3.7n
704	-107.185278	56.430000	Canada (Saskatchewan)	56.25.48 N -- 107.11.07 W	Nova Uranium Mines drill holes 1-6; Kara 1-25; Blackstone Lake	U; Pb; Mo	Intrusion-related	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp704.html	U-Th-REE deposits & occurrences, v.3.7n
787	-108.611111	59.610278	Canada (Saskatchewan)	59.36.37 N -- 108.36.40 W	Oldman River Uranium Showing; AH	U	Miscellaneous	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp787.html	U-Th-REE deposits & occurrences, v.3.7n
40031	-109.517875	58.368188	Canada (Saskatchewan)	58.22.05 N -- 109.31.04 W	OP Deposit; Cluff Lake OP Underground Mine; Cluff Lake OP Uranium Deposit	U; Au	Unconformity-associated	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp40031.html	U-Th-REE deposits & occurrences, v.3.7n
816	-108.784722	59.601389	Canada (Saskatchewan)	59.36.05 N -- 108.47.05 W	Orb - Zone No. 3; Pitch-Ore Uranium	U	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp816.html	U-Th-REE deposits & occurrences, v.3.7n
834	-108.800000	59.533333	Canada (Saskatchewan)	59.32.00 N -- 108.48.00 W	Orb Claim No. 2; Pitch-Ore Uranium Mine	U	Intrusion-related	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp834.html	U-Th-REE deposits & occurrences, v.3.7n
843	-108.780000	59.605000	Canada (Saskatchewan)	59.36.18 N -- 108.46.48 W	Orb Claims-Zone 6a; Augier Lake/Pitch-Ore Group	U	Veins	Canadian U-Th-REE deposits and occurrences	S.S. Gandhi, N. Prasad, L.B. Chorlton, C. Richer and D.R. Lentz	2015-11-27	Y:\ChurchillProject\Uranium\Open File 7854\Data321\Geospatial_Data\dg\dp843.html	U-Th-REE deposits & occurrences, v.3.7n
